"PSN Title","Title ID",Source,"Image URL"
"Doki Doki Literature Club Plus!",NPWR24886_00,trophy,
"Mark of the Ninja: Remastered",NPWR16306_00,trophy,
"Broken Sword - Shadow of the Templars: Reforged",NPWR46550_00,trophy,
"OCTOPATH TRAVELER II",NPWR29560_00,trophy,
"GrimGrimoire OnceMore",NPWR34392_00,trophy,
"JIGSAW CHRONICLES: Heroes of Legend",NPWR46749_00,trophy,
"STAR OCEAN First Departure R",NPWR19233_00,trophy,
"Ghost of Yōtei",NPWR51746_00,trophy,
"AI: THE SOMNIUM FILES",NPWR17668_00,trophy,
"OCTOPATH TRAVELER",NPWR39867_00,trophy,
"ASTRO BOT",NPWR24170_00,trophy,
Roblox,NPWR38289_00,trophy,
"Clair Obscur: Expedition 33",NPWR39144_00,trophy,
GRIS,NPWR32494_00,trophy,
"LUNAR REMASTERED COLLECTION",NPWR48809_00,trophy,
"Batu Ta Batu",NPWR21028_00,trophy,
"Lara Croft GO",NPWR11987_00,trophy,
GNOSIA,NPWR37737_00,trophy,
"Pic-a-Pix Pieces 2",NPWR20102_00,trophy,
Balatro,NPWR42066_00,trophy,
INDIKA,NPWR37986_00,trophy,
"FINAL FANTASY VI",NPWR32109_00,trophy,
"Sackboy: A Big Adventure",NPWR19950_00,trophy,
"The Last of Us™ Part I",NPWR26546_00,trophy,
"Prince of Persia™: The Lost Crown",NPWR35039_00,trophy,
"Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars",NPWR39930_00,trophy,
"Disco Elysium",NPWR23689_00,trophy,
"LIVE A LIVE",NPWR30305_00,trophy,
FullBlast,NPWR15712_00,trophy,
"Pic-a-Pix Classic",NPWR17475_00,trophy,
"JigSaw Abundance",NPWR40370_00,trophy,
"Mochi Mochi Boy",NPWR18372_00,trophy,
"Unicorn Overlord",NPWR26504_00,trophy,
"It Takes Two",NPWR22459_00,trophy,
"Life is Strange 2",NPWR13719_00,trophy,
"F1® 23",NPWR32860_00,trophy,
"Persona 3: Dancing in Moonlight",NPWR15899_00,trophy,
"Life is Strange: Before the Storm",NPWR13354_00,trophy,
"Pic-a-Pix Pieces",NPWR16913_00,trophy,
"Corpse Party",NPWR25145_00,trophy,
"Pic-a-Pix Color",NPWR15337_00,trophy,
"Learn Hiragana!!",NPWR34208_00,trophy,
"Learn Katakana!!",NPWR38551_00,trophy,
Deponia,NPWR10129_00,trophy,
"The Great Ace Attorney Chronicles",NPWR20261_00,trophy,
"Metaphor: ReFantazio",NPWR25347_00,trophy,
"WITCH ON THE HOLY NIGHT",NPWR29397_00,trophy,
"Eiyuden Chronicle: Hundred Heroes",NPWR39545_00,trophy,
"Persona 3 Reload",NPWR39405_00,trophy,
"CHRONO CROSS: THE RADICAL DREAMERS EDITION",NPWR23482_00,trophy,
"Fuga: Melodies of Steel",NPWR24015_00,trophy,
"Sea of Stars",NPWR30011_00,trophy,
"The Gardens Between",NPWR25556_00,trophy,
Tacoma,NPWR15122_00,trophy,
"Life Is Strange™",NPWR07875_00,trophy,
"A Space for the Unbound",NPWR31792_00,trophy,
"God of War Ragnarök",NPWR22392_00,trophy,
